title,author,url,weekday,crawl_date
홈,작자미상,https://m.comic.naver.com/index,월요일,2025-05-12
요일별,작자미상,https://m.comic.naver.com/webtoon/weekday,월요일,2025-05-12
완결작,작자미상,https://m.comic.naver.com/webtoon/finish,월요일,2025-05-12
베스트도전,작자미상,https://m.comic.naver.com/bestChallenge/genre,월요일,2025-05-12
홈,작자미상,https://m.comic.naver.com/index,화요일,2025-05-12
요일별,작자미상,https://m.comic.naver.com/webtoon/weekday,화요일,2025-05-12
완결작,작자미상,https://m.comic.naver.com/webtoon/finish,화요일,2025-05-12
베스트도전,작자미상,https://m.comic.naver.com/bestChallenge/genre,화요일,2025-05-12
홈,작자미상,https://m.comic.naver.com/index,수요일,2025-05-12
요일별,작자미상,https://m.comic.naver.com/webtoon/weekday,수요일,2025-05-12
완결작,작자미상,https://m.comic.naver.com/webtoon/finish,수요일,2025-05-12
베스트도전,작자미상,https://m.comic.naver.com/bestChallenge/genre,수요일,2025-05-12
홈,작자미상,https://m.comic.naver.com/index,목요일,2025-05-12
요일별,작자미상,https://m.comic.naver.com/webtoon/weekday,목요일,2025-05-12
완결작,작자미상,https://m.comic.naver.com/webtoon/finish,목요일,2025-05-12
베스트도전,작자미상,https://m.comic.naver.com/bestChallenge/genre,목요일,2025-05-12
홈,작자미상,https://m.comic.naver.com/index,금요일,2025-05-12
요일별,작자미상,https://m.comic.naver.com/webtoon/weekday,금요일,2025-05-12
완결작,작자미상,https://m.comic.naver.com/webtoon/finish,금요일,2025-05-12
베스트도전,작자미상,https://m.comic.naver.com/bestChallenge/genre,금요일,2025-05-12
홈,작자미상,https://m.comic.naver.com/index,토요일,2025-05-12
요일별,작자미상,https://m.comic.naver.com/webtoon/weekday,토요일,2025-05-12
완결작,작자미상,https://m.comic.naver.com/webtoon/finish,토요일,2025-05-12
베스트도전,작자미상,https://m.comic.naver.com/bestChallenge/genre,토요일,2025-05-12
홈,작자미상,https://m.comic.naver.com/index,일요일,2025-05-12
요일별,작자미상,https://m.comic.naver.com/webtoon/weekday,일요일,2025-05-12
완결작,작자미상,https://m.comic.naver.com/webtoon/finish,일요일,2025-05-12
베스트도전,작자미상,https://m.comic.naver.com/bestChallenge/genre,일요일,2025-05-12
